Candidate,Iowa,New Hampshire,Nevade,South Carolina,Alambama,Arkansas,Colorado,Georgia,Massachusetts,Minnesota,Oklahoma,Tennessee,Texas,Vermont,Virginia,Kansas,Louisana,Nebraska,Maine,Michigan,Mississippi,Florida,Illinois,Missouri,North Carolina,Ohio,Arizona,Idaho,Utah,Alaska,Hawaii,Washington,Total
Clinton,23,9,20,39,44,22,28,73,46,31,17,44,147,0,62,9,37,10,9,63,32,141,76,34,59,81,44,5,6,3,8,9,1712
Sanders,21,15,15,14,9,10,38,29,45,46,21,23,75,16,33,24,14,15,16,67,4,70,73,34,45,62,30,17,26,13,17,25,1004
